Name,Collection,Date,Year,Last Worked On,Description,Time Worked,Tempo,FL Version,Plugins,Plugin Count,Versions,Samples,Size MB
Kick and Bass,,2023-01-28,2023,2023-01-28,,0h 36m,150.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, FabFilter Pro-Q 3, kHs Gain, OTT, Ozone 8, SAUSAGE FATTENER, Serum, Sylenth1, TAL-Filter-2, The Glue, Youlean Loudness Meter 2",12,1,19,9.6
Template Project,,2023-01-30,2023,2023-01-30,,0h 31m,175.0,21.0.0.3329,"FabFilter Pro-Q 3, kHs Gain, Serum, TAL-Filter-2",4,1,7,27.5
unnamed,,2023-02-04,2023,2024-07-28,,4h 08m,208.0,21.2.3.4004,"CamelCrusher, DecentSampler, Keyzone Classic, kHs Gain, OTT, Serum, TAL-Filter-2, The Glue",8,1,3,22.5
Guitar Club Sample Flip,,2023-02-16,2023,2023-02-16,,1h 19m,210.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, FabFilter Saturn, Guitar Rig 6, kHs Frequency Shifter, kHs Resonator, kHs Transient Shaper, OTT, Ozone 8, SAUSAGE FATTENER, Serum, TAL-Filter-2, TruePianos, Youlean Loudness Meter 2",14,1,2294,69434.0
Sound Designs,,2023-02-19,2023,2023-09-17,,2h 58m,145.0,21.0.0.3329,"CamelCrusher, Decapitator, FabFilter Pro-C 2, FabFilter Pro-Q 3, kHs Formant Filter, kHs Gain, OTT, SAUSAGE FATTENER, Serum, TAL-Filter-2, TruePianos",11,1,8,1.6
kawaii 2,,2023-02-20,2023,2023-03-01,,2h 18m,170.0,21.0.0.3329,"CamelCrusher, DecentSampler, FabFilter Pro-Q 3, kHs Gain, OTT, Serum, TAL-Filter-2",7,1,3,8.1
GT Flip,,2023-02-23,2023,2023-02-23,,0h 18m,110.0,21.0.0.3329,"FabFilter Pro-Q 3, kHs Gain, Serum, TAL-Filter-2, TruePianos",5,1,2294,69434.0
GT Sample Flip,,2023-02-23,2023,2023-02-25,,1h 13m,110.0,21.0.0.3329,"DecentSampler, FabFilter Pro-Q 3, kHs Gain, Serum, TAL-Filter-2, TruePianos, Vital",7,1,2294,69434.0
Trance 1,,2023-03-01,2023,2023-09-17,,2h 08m,136.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, FabFilter Pro-Q 3, OTT, Ozone 8, Serum, Sylenth1, TAL-Filter-2, The Glue, Youlean Loudness Meter 2",10,1,4,5.3
scary pop kdvs,!Producer Club,2023-03-02,2023,2023-03-02,,0h 54m,140.0,21.0.0.3329,"CamelCrusher, OTT, Serum",3,1,1,3.2
Producer Spotlight,!Producer Club,2023-03-09,2023,2023-03-09,,0h 33m,140.0,21.0.0.3329,,0,1,9,120.5
MHA 40k Drop Contest,,2023-03-10,2023,2024-08-11,,14h 35m,128.0,21.0.0.3329,"CamelCrusher, DecentSampler, FabFilter Pro-L 2, FabFilter Pro-Q 3, kHs Gain, kHs Pitch Shifter, kHs Transient Shaper, OTT, Ozone Imager 2, SAUSAGE FATTENER, SPAN, Sylenth1, TAL-Filter-2, The Glue, Youlean Loudness Meter 2",15,2,141,695.4
